Gene Symbol,log2FoldChange,Pvalue,Padjusted,innate_immune,species,condition,adaptive,gene_category
TNK1,-3.145996853,0.2780823197,0.5776137221,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC532174,-23.50756836,6.37E-15,4.97E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC100139916,-2.999271014,1.16E-06,2.25E-05,FALSE,Bos indicus,milk production,TRUE,immune
LOC619159,4.194200979,7.19E-14,1.80E-11,FALSE,Bos indicus,milk production,TRUE,immune
F2R,-2.125849524,2.53E-05,0.000309506967,TRUE,Bos indicus,milk production,FALSE,immune
WNT9B,-25.20109927,6.32E-17,1.08E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC132343197,-3.738864935,0.006344783044,0.02831631211,FALSE,Bos indicus,milk production,TRUE,immune
NLRP2,4.890115065,3.13E-10,2.00E-08,TRUE,Bos indicus,milk production,FALSE,immune
CCL5,2.196973034,0.007860789813,0.2487802189,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
SPAG4,-8.576520856,0.00336838666,0.01495094189,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TRIM15,2.120087538,0.0005790810296,0.01047101902,TRUE,Bos taurus,MAP Infection,FALSE,immune
IKBKE,-2.079173718,0.4731294493,0.8219209504,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
GPR33,-10.51850811,0.0003576603975,0.001995290018,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CASP7,-2.843934292,0.3265408933,0.6496010581,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SH2D1A,-2.023852808,0.0009456928166,0.006270284769,TRUE,Bos indicus,milk production,FALSE,immune
MAP3K14,-2.225143455,0.4426081394,0.7907235793,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IFIT5,2.500379415,1.59E-07,4.15E-06,TRUE,Bos indicus,milk production,FALSE,immune
TIFA,2.024293467,0.01041429472,0.277038154,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
PGBD1,-6.952558744,0.006255605274,0.02558024577,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112442324,3.354481972,1.04E-06,2.06E-05,FALSE,Bos indicus,milk production,TRUE,immune
CFB,2.084665,0.000834225,0.04214541,TRUE,Bos taurus,MAP Infection,FALSE,immune
LOC112442414,2.344011991,0.0135960111,0.3151819231,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
PGLYRP4,6.39101075,3.29E-11,2.93E-09,TRUE,Bos indicus,milk production,FALSE,immune
TRIL,-6.539333344,0.03018698667,0.09338880802,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MAGED4B,-2.330535301,0.001114236193,0.007138885377,FALSE,Bos indicus,milk production,TRUE,immune
AVP,2.065565339,0.007740499264,0.03318084753,TRUE,Bos indicus,milk production,FALSE,immune
IGSF22,-25.19475747,6.44E-17,1.09E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCR10,-5.638690186,0.05235232703,0.1460089392,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MMP12,-2.801735978,0.01570980071,0.3360998533,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
FCN3,-2.24670885,0.1589628381,0.370728502,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
EDN1,4.447289297,1.41E-11,1.46E-09,TRUE,Bos indicus,milk production,FALSE,immune
LY6H,2.237581237,0.01764790575,0.06152430996,FALSE,Bos indicus,milk production,TRUE,immune
IL3RA,2.670970507,0.0005071928521,0.04725618012,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
NLRP12,7.588382556,8.46E-14,1.93E-11,TRUE,Bos indicus,milk production,FALSE,immune
LOC132342884,-2.389315993,0.001642272161,0.009788471473,FALSE,Bos indicus,milk production,TRUE,immune
ZFPM1,-4.357793572,0.1328815047,0.3194649715,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CYBA,2.158180424,9.70E-07,1.95E-05,TRUE,Bos indicus,milk production,FALSE,immune
CCR3,-7.515675487,0.007514404805,0.02998662285,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IFI27,2.684561487,7.48E-08,4.59E-05,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
HMOX1,-6.926018251,0.01717512531,0.05938122287,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MX1,2.743295942,1.33E-07,7.10E-05,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LOC112441504,-3.892876082,0.005425532994,0.2051089957,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
XCL2,-4.290416677,1.88E-08,6.43E-07,FALSE,Bos indicus,milk production,TRUE,immune
AXL,2.053143734,4.95E-06,7.88E-05,TRUE,Bos indicus,milk production,FALSE,immune
TXNIP,2.145260526,1.67E-07,4.36E-06,TRUE,Bos indicus,milk production,FALSE,immune
CCL5,2.032913,0.00032081,0.01108107,TRUE,Bos taurus,MAP Infection,TRUE,immune
SPP1,-5.71234043,4.09E-12,1.67E-08,TRUE,Bos taurus,MAP Infection,FALSE,immune
LOC112445612,-2.653559496,0.0006572592037,0.004680521982,FALSE,Bos indicus,milk production,TRUE,immune
TNFAIP3,3.549423,7.43E-10,2.66E-07,TRUE,Bos taurus,MAP Infection,FALSE,immune
LRIG1,-2.176659461,4.82E-05,0.0005337702221,FALSE,Bos indicus,milk production,TRUE,immune
IL1RAPL2,-2.732444395,0.01653955293,0.0586630471,FALSE,Bos indicus,milk production,TRUE,immune
LSP1,-2.642313286,0.3618454443,0.6971924717,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MID1,-9.313172069,0.001451250924,0.007171360016,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LY6G5C,-10.66378829,0.000351311987,0.001962602642,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC100336589,3.248363945,0.0002544488096,0.02808445633,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
DRAM1,2.768079034,3.14E-09,1.39E-07,FALSE,Bos indicus,milk production,TRUE,immune
LOC618416,2.675039347,3.00E-07,7.28E-06,FALSE,Bos indicus,milk production,TRUE,immune
ARG1,-9.776985183,0.001037014143,0.005307422513,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CLEC4D,2.538549889,3.22E-05,0.0003809157401,TRUE,Bos indicus,milk production,FALSE,immune
CCL8,4.673864842,5.31E-07,0.0002175238912,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
TMIGD1,-26.10266668,4.79E-18,1.56E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CXCR1,-27.6415429,4.78E-20,9.13E-18,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCL8,4.492593971,4.68E-18,1.10E-16,FALSE,Bos taurus,BRSV Infection,TRUE,immune
CFB,-2.241192755,0.4392966581,0.7866463642,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCL24,-23.31482212,1.06E-14,7.84E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL19,3.380430762,0.001979314765,0.0113301798,TRUE,Bos indicus,milk production,TRUE,immune
LOC529792,2.782413005,1.93E-10,1.32E-08,FALSE,Bos indicus,milk production,TRUE,immune
PDCD1,-2.333084,0.004649243,0.0803355,TRUE,Bos taurus,MAP Infection,FALSE,immune
CD4,6.296225131,0.03017469234,0.09338880802,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
BCL2A1,2.213287,6.46E-08,1.23E-05,TRUE,Bos taurus,MAP Infection,FALSE,immune
LOC132343837,-3.727034294,0.1965522963,0.4418916313,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
ELANE,4.184412746,8.98E-10,4.92E-08,TRUE,Bos indicus,milk production,FALSE,immune
LOC789205,-2.066435082,0.0219086079,0.07185501759,FALSE,Bos indicus,milk production,TRUE,immune
CD3D,-11.66029777,0.0001098501605,0.000657484438,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC101906009,-3.421207618,0.2379359622,0.5148115657,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
PLAUR,3.428218742,2.64E-08,8.68E-07,TRUE,Bos indicus,milk production,FALSE,immune
ELP2,-2.850547758,0.3252820823,0.6480607523,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TPSB2,-25.17941708,6.72E-17,1.12E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SOCS3,4.431635636,2.15E-11,2.03E-09,TRUE,Bos indicus,milk production,TRUE,immune
GJA1,-2.45407707,1.64E-05,0.0009102660142,TRUE,Bos taurus,MAP Infection,FALSE,immune
CXCL11,-24.45622854,4.99E-16,5.12E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112441494,3.194721378,1.01E-06,2.02E-05,FALSE,Bos indicus,milk production,TRUE,immune
CARD9,2.071823281,9.25E-07,1.86E-05,TRUE,Bos indicus,milk production,FALSE,immune
SELE,-24.06016906,1.46E-15,1.31E-14,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CFP,2.217890577,1.01E-07,2.80E-06,TRUE,Bos indicus,milk production,FALSE,immune
PTK2B,2.061978104,3.00E-05,0.0003592964905,TRUE,Bos indicus,milk production,FALSE,immune
MAP3K8,2.104174,6.82E-11,3.50E-08,TRUE,Bos taurus,MAP Infection,FALSE,immune
TNFRSF9,-3.043038072,8.30E-06,0.0001215793595,TRUE,Bos indicus,milk production,FALSE,immune
CCR6,2.574427318,4.80E-05,0.0005324747388,TRUE,Bos indicus,milk production,TRUE,immune
NLRP3,4.869197551,3.21E-11,2.88E-09,TRUE,Bos indicus,milk production,FALSE,immune
JAK2,3.079612948,2.43E-06,4.20E-05,TRUE,Bos indicus,milk production,FALSE,immune
SREBF1,-2.170413054,0.4538473429,0.8025595593,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IRF7,2.012538742,0.0007285489458,0.06083383697,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
RAC1,-2.02202782,0.485279211,0.8331976183,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IFIT3,3.401360849,5.38E-08,1.60E-06,TRUE,Bos indicus,milk production,FALSE,immune
IL1RAPL2,2.692396633,0.00544032926,0.2052173325,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
APOH,-23.40489747,8.34E-15,6.32E-14,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NOD2,2.444556695,1.25E-06,2.41E-05,TRUE,Bos indicus,milk production,FALSE,immune
SPECC1,-2.508320366,0.3867634358,0.7285005451,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC510520,2.502139813,1.20E-05,0.0001668643074,FALSE,Bos indicus,milk production,TRUE,immune
BST1,-7.390352881,0.007387401611,0.02952385355,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
PTPN2,-3.039855749,0.2941172247,0.601961716,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
GRO1,5.878490315,1.10E-13,2.40E-11,FALSE,Bos indicus,milk production,TRUE,immune
IL2RG,-2.254315238,0.4365810194,0.7831815537,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC510520,-5.63968174,0.05177529873,0.1449491618,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SPHK1,-4.647974513,0.1092137718,0.2710920257,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NUMBL,-2.180290261,0.4538095799,0.8025595593,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ELAPOR2,-2.688725306,0.03073750721,0.4330187236,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
TRIM23,-2.083380346,0.4722989708,0.8210433033,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SPHK1,2.190138539,3.00E-10,1.94E-08,TRUE,Bos indicus,milk production,FALSE,immune
TNIP3,3.064090843,4.89E-05,0.0005397364248,TRUE,Bos indicus,milk production,FALSE,immune
BCL2,-2.1265153,0.4630540154,0.8122930837,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC112441479,-7.176577473,1.61E-07,7.89E-05,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
HP,3.245301664,1.42E-06,2.66E-05,TRUE,Bos indicus,milk production,FALSE,immune
LOC100296695,-4.461644819,0.1279596479,0.3096731527,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
NR4A3,-5.001027737,0.0845813289,0.2171353693,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TIGD7,2.502943952,4.21E-05,0.0004807397552,FALSE,Bos indicus,milk production,TRUE,immune
TIGIT,2.406112861,0.08853401606,0.2260532863,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LY86,-3.17316088,0.2736761373,0.5711966194,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CD40LG,-2.17084978,0.002177164098,0.01221542541,FALSE,Bos indicus,milk production,TRUE,immune
LOC112446749,-3.857894788,0.0007013482652,0.004952767949,FALSE,Bos indicus,milk production,TRUE,immune
IL10,3.49755103,6.67E-09,2.63E-07,TRUE,Bos indicus,milk production,TRUE,immune
PTAFR,4.285226421,1.11E-11,1.19E-09,TRUE,Bos indicus,milk production,FALSE,immune
XK,-2.662482294,2.28E-05,0.000283575842,FALSE,Bos indicus,milk production,TRUE,immune
TINAG,-22.33408231,1.30E-13,8.52E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MAP3K8,3.374558457,2.25E-07,5.68E-06,TRUE,Bos indicus,milk production,FALSE,immune
IFI6,2.956635184,7.13E-20,2.86E-18,TRUE,Bos taurus,BRSV Infection,FALSE,immune
LOC112441460,-5.019221095,3.32E-07,7.93E-06,FALSE,Bos indicus,milk production,TRUE,immune
LRIG1,-8.496186591,0.003543292414,0.0156192923,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SPI1,3.163360396,2.00E-09,9.70E-08,TRUE,Bos indicus,milk production,FALSE,immune
CXCL9,3.026225838,8.09E-05,0.03302003032,TRUE,Bos taurus,MAP Infection,TRUE,immune
PLXNA4,2.623267367,0.004381855693,0.03863051566,TRUE,Bos taurus,MAP Infection,FALSE,immune
BIRC5,-2.475691093,0.3929058109,0.7356670865,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCL3,2.343837488,9.79E-05,0.0009619580918,FALSE,Bos indicus,milk production,TRUE,immune
CARD9,-3.037117396,0.2947175551,0.6028057549,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
AVP,-25.39839805,3.62E-17,7.17E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CXCR5,-2.088083935,0.001005657619,0.006576560123,FALSE,Bos indicus,milk production,TRUE,immune
TP73,-2.316152365,0.424159037,0.7707180509,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
PGLYRP2,-3.663431171,0.1972035805,0.4430180163,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
HERC5,2.076313795,0.0001140591066,0.001094692337,TRUE,Bos indicus,milk production,FALSE,immune
LY6G5B,-2.713591485,0.3494575407,0.6815887141,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCRL2,5.268790924,4.14E-13,7.88E-11,FALSE,Bos indicus,milk production,TRUE,immune
IL1B,5.475627602,1.59E-14,5.25E-12,TRUE,Bos indicus,milk production,TRUE,immune
IFIH1,2.140187674,5.95E-05,0.0006347887916,TRUE,Bos indicus,milk production,FALSE,immune
CD27,-2.145938319,0.0006963617268,0.004920788276,TRUE,Bos indicus,milk production,FALSE,immune
CT47C1,4.631737246,2.29E-09,1.09E-07,FALSE,Bos indicus,milk production,TRUE,immune
TLR4,3.613903138,8.65E-10,4.77E-08,TRUE,Bos indicus,milk production,FALSE,immune
ISG20,2.895336312,1.82E-07,8.71E-05,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MMP9,3.440569775,9.44E-13,1.56E-10,TRUE,Bos indicus,milk production,FALSE,immune
ZBP1,2.957103584,9.85E-07,0.000360321765,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LOC101907857,2.558807644,6.03E-08,1.78E-06,FALSE,Bos indicus,milk production,TRUE,immune
BIRC3,3.934578643,9.68E-07,1.94E-05,TRUE,Bos indicus,milk production,FALSE,immune
SLAMF1,-2.534026226,0.02418187858,0.07795122538,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
FOXO3,2.011936507,0.0005357749756,0.00994173793,TRUE,Bos taurus,MAP Infection,FALSE,immune
ATG5,-2.530180466,0.3825529889,0.7234759376,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MEFV,4.987261,8.75E-09,2.03E-06,TRUE,Bos taurus,MAP Infection,TRUE,immune
TRAT1,-2.131707213,0.0002131239371,0.001854178253,TRUE,Bos indicus,milk production,FALSE,immune
LOC100336589,3.372773263,3.25E-07,7.78E-06,FALSE,Bos indicus,milk production,TRUE,immune
IL2RB,-2.471924444,0.0001587215236,0.001452398514,TRUE,Bos indicus,milk production,TRUE,immune
LOC112444532,-24.78759794,2.01E-16,2.54E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
UNC5CL,2.076512425,0.001792323909,0.02208815517,TRUE,Bos taurus,MAP Infection,FALSE,immune
LOC100138951,3.662783052,0.02193185837,0.3863705061,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
FCGR2A,3.366239363,0.08494393219,0.2179965001,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LTB4R,4.212030238,3.40E-15,1.56E-12,TRUE,Bos indicus,milk production,FALSE,immune
LOC132342650,-3.485062959,0.0422246448,0.1154408896,FALSE,Bos indicus,milk production,TRUE,immune
LOC100298356,4.52115858,9.36E-15,8.05E-11,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IL36B,2.551201559,0.06699645484,0.1607712919,FALSE,Bos indicus,milk production,TRUE,immune
CX3CL1,-24.66018371,2.85E-16,3.29E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MILR1,-5.476491223,0.05878942754,0.1602531101,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
NFE2L2,2.573765136,8.94E-06,0.0001290863322,TRUE,Bos indicus,milk production,FALSE,immune
LOC112445498,2.232489771,1.55E-06,2.87E-05,FALSE,Bos indicus,milk production,TRUE,immune
SERPINE1,5.284732044,2.07E-18,5.96E-15,TRUE,Bos indicus,milk production,FALSE,immune
PTGES,-24.65455904,2.57E-16,3.03E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ULBP17,-2.2949704,0.1384418189,0.7236974862,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
TREML2,3.55136486,4.18E-09,1.75E-07,TRUE,Bos indicus,milk production,TRUE,immune
OLFM4,4.945756699,2.67E-10,1.74E-08,TRUE,Bos indicus,milk production,FALSE,immune
CCL26,2.480493769,0.003769028883,0.1704360806,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
MX2,3.370268057,9.09E-08,5.39E-05,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
CLCF1,-2.407092207,0.406451274,0.750898728,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SCARF1,3.207826703,3.93E-10,2.41E-08,TRUE,Bos indicus,milk production,FALSE,immune
IL9,5.95039339,9.34E-10,5.09E-08,TRUE,Bos indicus,milk production,TRUE,immune
MUC1,2.979832323,1.22E-06,0.0004265207299,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IL1B,5.63864,6.52E-12,5.13E-09,TRUE,Bos taurus,MAP Infection,TRUE,immune
NFKBIA,3.845765041,9.15E-12,1.03E-09,TRUE,Bos indicus,milk production,FALSE,immune
PLK1,-2.177429499,0.01126150128,0.2865571339,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
SLAMF8,2.923070793,6.73E-07,1.41E-05,TRUE,Bos indicus,milk production,FALSE,immune
DUOX2,3.428920699,7.47E-05,0.01271457286,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
CXCL5,3.100663662,0.2919790834,0.5991047767,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IRF5,2.539023017,2.60E-09,1.21E-07,TRUE,Bos indicus,milk production,FALSE,immune
CD3E,-2.606850522,0.0001097188322,0.001059185977,FALSE,Bos indicus,milk production,TRUE,immune
LOC790255,2.00791283,0.0002102740127,0.00183682043,FALSE,Bos indicus,milk production,TRUE,immune
OAS2,3.221897105,5.97E-09,5.40E-06,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
NFIL3,2.963177598,2.88E-06,4.89E-05,TRUE,Bos indicus,milk production,TRUE,immune
P2RY14,5.451207171,3.14E-10,2.00E-08,TRUE,Bos indicus,milk production,FALSE,immune
IRF1,2.183673849,3.95E-06,6.49E-05,TRUE,Bos indicus,milk production,FALSE,immune
PSMA7,-2.278751168,0.4316634651,0.7787117697,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC132343398,-7.023133566,0.01540369555,0.05421695473,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
GJA1,3.371781975,0.2491348425,0.5320136007,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CXCL2,4.738575,9.41E-09,2.10E-06,TRUE,Bos taurus,MAP Infection,TRUE,immune
CXCL13,-25.72842565,1.41E-17,3.42E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112443150,-4.134722031,0.03518936544,0.1010667811,FALSE,Bos indicus,milk production,TRUE,immune
TRAF1,2.213529,4.99E-09,1.23E-06,TRUE,Bos taurus,MAP Infection,FALSE,immune
ISLR2,3.286901845,0.01529908982,0.05546855765,FALSE,Bos indicus,milk production,TRUE,immune
PELI3,-7.664683545,0.008685793717,0.03411820586,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MIR187,-22.41313487,1.07E-13,7.03E-13,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
BOLA-DQA2,-3.802907706,0.1894953208,0.4284868835,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCL26,2.321305939,0.0002935611339,0.006679745801,FALSE,Bos taurus,MAP Infection,TRUE,immune
ATG16L2,2.31165859,0.0001293749196,0.001225068988,FALSE,Bos indicus,milk production,TRUE,immune
TRIM37,-2.071484931,0.4747102757,0.8232622314,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NOD2,-2.755925031,0.341572055,0.6710197654,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCL20,6.514827388,3.68E-11,3.22E-09,FALSE,Bos indicus,milk production,TRUE,immune
CXCL2,6.239042,4.40E-11,2.74E-08,TRUE,Bos taurus,MAP Infection,TRUE,immune
LOC112441507,2.772399158,3.80E-10,2.35E-08,FALSE,Bos indicus,milk production,TRUE,immune
NFATC2,-2.106332379,8.72E-05,0.000874065296,TRUE,Bos indicus,milk production,FALSE,immune
IL1A,7.064453652,2.00E-18,5.96E-15,TRUE,Bos indicus,milk production,TRUE,immune
DHX58,2.106320406,0.001037616584,0.07530819776,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LECT2,-9.061809246,0.001685808924,0.008162061309,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SYK,2.331619696,4.48E-07,1.01E-05,TRUE,Bos indicus,milk production,FALSE,immune
LOC112445051,-2.584892606,0.0003291812487,0.002669349379,FALSE,Bos indicus,milk production,TRUE,immune
CCL17,-3.221722427,0.2665853064,0.5602783807,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LY6G6F,-7.091480195,0.01871425911,0.06366338677,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112445159,-4.938015892,4.20E-05,0.007974985395,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
CCL8,3.510336231,3.81E-07,8.84E-06,FALSE,Bos indicus,milk production,TRUE,immune
INSIG1,2.431454374,0.4014019003,0.7458324265,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MERTK,-5.063779054,0.07054424451,0.1864068364,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LCN2,-5.874027543,0.04318061885,0.1245818682,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
BMX,2.332008934,0.004368340398,0.02108045515,TRUE,Bos indicus,milk production,FALSE,immune
LOC100139885,-2.315652415,0.05137661878,0.5308873183,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
HP,-6.590519585,0.02895746505,0.09017147995,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL10,2.009643,1.50E-07,2.68E-05,TRUE,Bos taurus,MAP Infection,TRUE,immune
NLRP3,2.730713,2.40E-10,9.46E-08,TRUE,Bos taurus,MAP Infection,FALSE,immune
PLTP,-4.650301582,0.109106742,0.2710506258,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
C5AR1,-8.272130326,0.003491099607,0.01541462137,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC101906009,3.225230188,2.06E-05,0.0002603684214,FALSE,Bos indicus,milk production,TRUE,immune
TMIGD2,2.47884304,0.3943310997,0.7375567785,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MIR122,-24.84113544,1.73E-16,2.27E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MST1R,-6.870090795,0.02275085951,0.07429095205,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
WNT2B,-3.499326819,0.06100312975,0.165193223,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TYROBP,2.426604955,3.51E-06,5.86E-05,FALSE,Bos indicus,milk production,TRUE,immune
SPAG7,-5.618346078,0.05256669969,0.1464494931,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CXCL10,2.801834454,9.34E-05,0.01503836459,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
LPCAT2,4.176076408,1.28E-08,4.59E-07,TRUE,Bos indicus,milk production,FALSE,immune
HERC5,2.608937827,2.59E-05,0.00562869857,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
